participantNr	age	female	BEAST_S	move1	move2	move3	comply1	comply2	comply3	DG_self_SELFISH	DG_self_withSocInfo_SELFISH	DG_self_FAIR	DG_self_withSocInfo_FAIR	factor_S	factor_S2
168	16	1	0.393464052	12687	3864	12616	1	0	1	10	10	5	6	NA	NA
169	16	1	0.129487179	13239	3704	3112	1	0	0	10	10	8	8	-0.579022073	-1.954783984
170	16	1	0.092222222	12631	3096	2728	1	0	0	10	10	7	6	-0.263559038	-1.827550747
171	18	0	0.555555556	2328	2184	12384	0	0	1	10	10	10	10	0.040503884	-2.08590085
172	18	0	0.573015873	15776	6960	12576	1	0	1	6	8	6	7	0.823462622	-1.750059421
173	17	0	0.1	12984	12424	12360	1	1	1	5	5	5	5	-0.997667978	-2.239177781
174	17	1	0.177777778	15296	12400	12578	1	1	1	5	5	5	5	-0.819727151	-2.197937638
175	17	1	0.672058824	12674	12473	12512	1	1	1	6	8	8	6	0.772502225	-1.764596915
176	17	1	0.240808081	12872	12480	12448	1	1	1	7	7	7	7	-0.675743907	-2.164561923
177	18	0	0.406940837	2832	3888	12641	0	0	1	10	10	10	5	0.507736891	-1.866912171
178	18	0	0.429292929	12416	12392	12416	1	1	1	7	7	7	7	-0.246293442	-2.152613054
179	18	0	0.651923077	7607	12472	12344	0	1	1	5	0	10	5	1.406949968	-1.561369238
180	19	0	0.507142857	2384	2504	2384	0	0	0	0	0	10	10	-0.069382032	-2.199228897
181	18	1	0.066666667	3520	3319	2175	0	0	0	5	5	7	7	-1.074021337	-2.34510404
182	18	1	0.238823529	12944	12464	12536	1	1	1	10	10	10	10	-0.680274393	-2.253549649
183	18	1	0.34754902	3928	4064	2209	0	0	0	6	6	10	10	-0.432341364	-2.195887153
184	19	0	0.091666667	12589	3487	12391	1	0	1	5	5	NA	NA	-0.664018138	-2.231283188
185	19	0	0	2736	2144	2568	0	0	0	5	7	5	5	-0.901604876	-2.348585995
186	19	0	0.293772894	4537	2240	2872	0	0	0	5	5	10	5	-0.150940202	-2.162602548
187	19	0	0.63003663	12711	4032	12552	1	0	1	5	5	5	5	0.550320775	-1.953309796
188	19	1	0.179166667	2855	3120	12728	0	0	1	5	10	10	10	-0.411652373	-2.223314202
189	19	1	0.015384615	2121	2352	3256	0	0	0	10	10	10	10	-1.191599057	-2.461057213
190	19	1	0.195055821	12680	8968	12424	1	0	1	5	5	5	5	-0.431563971	-2.178028918
191	19	1	0.71463259	9463	12544	12432	0	1	1	5	10	8	5	1.550136191	-1.615345191
192	20	0	0.226923077	12392	12369	12345	1	1	1	10	10	10	10	-0.707445609	-2.436648771
193	20	0	0.1	12432	3319	12384	1	0	1	8	10	5	5	0.154244356	-2.021032624
194	20	0	0.230952381	2208	2671	2135	0	0	0	10	10	10	10	-0.698245105	-2.434494865
195	20	0	0.142857143	9952	2432	2208	0	0	0	10	10	10	10	-0.89958171	-2.481627998
196	20	1	0.183333333	12472	12471	12503	1	1	1	5	5	5	5	-0.807028556	-2.45996156
197	20	1	0.320997807	12576	7352	12424	1	0	1	10	10	10	10	-0.147951058	-2.198618045
198	20	1	0.476831502	2511	2216	2776	0	0	0	10	10	10	10	-0.138232436	-2.303391416
199	20	1	0.212862319	3928	3336	2696	0	0	0	5	10	10	10	-0.334939047	-2.293515692
200	19	0	0.373322511	2600	12687	5528	0	1	0	5	5	10	10	-0.029965072	-2.086068033
